Line-number,Type,State,County,Town,FIPS,Server-owner,ArcGIS-url,https,Show-contents,SSL,Open,Comment
33,1,,,,,DOC - National Center for Environmental Information,https://gis.ngdc.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
34,1,,,,,DOC - Electronic Nautical Charts (ENC),https://encdirect.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
35,1,,,,,DOC - Electronic Nautical Charts (ENC),https://wrecks.nauticalcharts.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
36,1,,,,,DOC - Gulf of Mexico Fishery Management Council,https://portal.gulfcouncil.org/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
37,1,,,,,DOD - Army Corps of Engineers - Readiness Support Center,https://ienccloud.us/arcgis/rest/services,Y,Y,OK,Y, Inland water, major rivers 
38,1,,,,,DOD - Army Corps of Engineers - Readiness Support Center,https://services7.arcgis.com/n1YM8pTrFmm7L4hs/ArcGIS/rest/services,Y,Y,OK,Y, 
39,1,,,,,DOD - Army Corps of Engineers - Readiness Support Center,https://ags03.sec.usace.army.mil/server/rest/services,Y,N,OK,Y, The above link might say "client error" but you can still treat this like any other ArcGIS server where the table of contents has been disabled. 
40,1,,,,,DOD - Arlington National Cemetery,https://ancexplorer.army.mil/arcgis/rest/services,Y,N,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
41,1,,,,,DOEd - Data and Statistics,https://nces.ed.gov/opengis/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
42,1,,,,,DOE - Argonne National Laboratory,https://disgeoportal.egs.anl.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
43,1,,,,,DOE - Energy Information Administration (EIA),https://services.arcgis.com/jDGuO8tYggdCCnUJ/arcgis/rest/services,Y,Y,OK,Y,
44,1,,,,,HHS - Website: https://www.hhs.gov/,https://geohealth.hhs.gov/dataaccess/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
45,1,,,,,HHS - Health Resources and Services Administration (HRSA),https://gisportal.hrsa.gov/server/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
46,1,,,,,HHS - Indian Health Service,https://maps.ihs.gov/server/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
47,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://hazards.fema.gov/gis/nfhl/rest/services,Y,Y,OK,Y, Includes ID for FIRM panels (related to flood risk) 
48,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://gis.fema.gov/arcgis/rest/services/,Y,Y,OK,Y, 2-21-2023 no tiled data 
49,1,,,,,DHS - Federal Emergency Management Agency (FEMA),https://services.arcgis.com/XG15cJAlne2vxtgt/ArcGIS/rest/services,Y,Y,OK,Y, Server might be slow 
50,1,,,,,DHS - Various layers,https://gii.dhs.gov/host/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
51,1,,,,,HUD - Geospatial Data Storefront,https://egis.hud.gov/arcgis/rest/services,Y,N,OK,Y, 2-21-2023 no tiled data 
52,1,,,,,HUD - Location Affordability Portal,https://services.arcgis.com/VTyQ9soqVukalItT/arcgis/rest/services,Y,Y,OK,Y,
53,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/arcgis/rest/services,Y,Y,OK,Y, For key recreation layers see box below 
54,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/orarcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
55,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/azarcgis/rest/services,Y,Y,OK,Y,Arizona 2-21-2023 no tiled data 
56,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/coarcgis/rest/services,Y,Y,OK,Y,Colorado 2-21-2023 no tiled data 
57,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/nmarcgis/rest/services,Y,Y,OK,Y,New Mexico 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
58,1,,,,,DOI - Bureau of Land Management,https://gis.blm.gov/utarcgis/rest/services,Y,Y,OK,Y,Utah 2-21-2023 no tiled data 
59,1,,,,,DOI - Bureau of Ocean Energy Management,https://tiles.arcgis.com/tiles/C8EMgrsFcRFL6LrL/arcgis/rest/services,Y,Y,OK,Y, 
60,1,,,,,DOI - Bureau of Ocean Energy Management,https://gis.boem.gov/arcgis/rest/services,Y,Y,OK,Y, Above server produces an unusual message. 
61,1,,,,,DOI - Bureau of Reclamation,https://geo.usbr.gov/server/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
62,1,,,,,DOI - Fish and Wildlife Service,https://www.fws.gov/wetlandsmapservice/rest/services,Y,Y,OK,Y, 2-22-2023 no tiled data 
63,1,,,,,DOI - Fish and Wildlife Service,https://cbrsgis.wim.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,Coastal Barrier Resources System 8-13-2023 no tiled data 
64,1,,,,,DOI - Fish and Wildlife Service,https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services,Y,Y,OK,Y, 
65,1,,,,,DOI - Fish and Wildlife Service,https://services.arcgis.com/QVENGdaPbd4LUkLV/arcgis/rest/services,Y,Y,OK,Y, 
66,1,,,,,DOI - Fish and Wildlife Service,https://tiles.arcgis.com/tiles/QVENGdaPbd4LUkLV/arcgis/rest/services,Y,Y,OK,Y,
67,1,,,,,DOI - Bureau of Indian Affairs,https://biamaps.geoplatform.gov/server/rest/services,Y,Y,OK,Y, 8-13-2023 no tiled data 
68,1,,,,,DOI - National Park Service (NPS),https://mapservices.nps.gov/arcgis/rest/services,Y,Y,OK,Y, 2-22-2023 no tiled data. 
69,1,,,,,DOI - National Park Service (NPS),https://services.arcgis.com/EeCmkqXss9GYEKIZ/ArcGIS/rest/services,Y,Y,OK,Y, Includes Ice Age National Scenic Trail 
70,1,,,,,DOI - National Park Service (NPS),https://services2.arcgis.com/UfGVyqUm4GHa2zrj/ArcGIS/rest/services,Y,Y,OK,Y, Includes North Country National Scenic Trail 
71,1,,,,,DOI - Integrated Resource Management Applications,https://irmaservices.nps.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
72,1,,,,,USGS - The national map,https://basemap.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y,Includes USTopo basemap 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
73,1,,,,,USGS - The national map,https://index.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 2-22-2023 no tiled data 
74,1,,,,,USGS - The national map,https://partnerships.nationalmap.gov/arcgis/rest/services,Y,Y,OK,Y, 2-22-2023 no tiled data 
75,1,,,,,USGS - Earthquake and landslide,https://earthquake.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 
76,1,,,,,USGS - Earthquake and landslide,https://earthquake.usgs.gov/arcgis/rest/services/ls/pwfdf_2020/MapServer,Y,Y,OK,Y, Example link for debris flow risk following wildland fire 
77,1,,,,,Upper Midwest Environmental Sciences Center,https://umesc-gisdb03.er.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
78,1,,,,,USGS - Eastern Energy Resources Science Center,https://eerscmap.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
79,1,,,,,USGS - ScienceBase,https://gis.usgs.gov/sciencebase2/rest/services,Y,Y,OK,Y, 2-25-2023 no tiled data 
80,1,,,,,USGS - Web Informatics and Mapping (WiM),https://gis.wim.usgs.gov/arcgis/rest/services,Y,Y,OK,Y,Web page blocked 
81,1,,,,,USGS - Other ArcGIS servers,https://edcintl.cr.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
82,1,,,,,USGS - Other ArcGIS servers,https://gis1.usgs.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
83,1,,,,,DOT - Federal Highway Administration - Highway Safety Improvement Program (HSIP),https://geo.dot.gov/server/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
84,1,,,,,DOT - Federal Highway Administration - National Transportation Atlas Database (NTAD),https://geo.dot.gov/mapping/rest/services,Y,Y,OK,Y, Includes bridge and tunnel inventory 
85,1,,,,,DOT - Federal Highway Administration - National Transportation Atlas Database (NTAD),https://services.arcgis.com/xOi1kZaI0eWDREZv/ArcGIS/rest/services,Y,Y,OK,Y, Includes Congressional_Districts 
86,1,,,,,DOT - Federal Aviation Administration (FAA),https://tiles.arcgis.com/tiles/ssFJjBXIUyZDrSYZ/arcgis/rest/services,Y,Y,OK,Y, 
87,1,,,,,DOT - Federal Aviation Administration (FAA),https://services6.arcgis.com/ssFJjBXIUyZDrSYZ/arcgis/rest/services,Y,Y,OK,Y, UAS_Part_107 has the drone ceiling data 
88,1,,,,,DOT - Federal Railroad Administration,https://fragis.fra.dot.gov/fragis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
89,1,,,,,DOT - Various layers,https://geo.dot.gov/server/rest/services,Y,Y,OK,Y, Pipelines 
90,1,,,,,DOTr - Community Development Financial Institutions Fund,https://cimsprodprep.cdfifund.gov/arcgis/rest/services,Y,Y,OK,Y, 2-25-2023 no tiled data 
91,1,,,,,EPA - EnviroAtlas,https://enviroatlas.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-26-2023 no tiled data 
92,1,,,,,EPA - Environmental Justice Screening and Mapping,https://ejscreen.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-26-2023 no tiled data 
93,1,,,,,EPA - WATERS (Watershed Assessment - Tracking & Environmental Results System),https://watersgeo.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y, 2-26-2023 no tiled data 
94,1,,,,,EPA - WATERS (Watershed Assessment - Tracking & Environmental Results System),https://watersgeo.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-26-2023 no tiled data 
95,1,,,,,EPA - Various layers,https://geopub.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
96,1,,,,,EPA - Various layers,https://gispub.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
97,1,,,,,EPA - Various layers,https://geodata.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
98,1,,,,,EPA - Various layers,https://map22.epa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
99,1,,,,,EPA - Various layers,https://map23.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
100,1,,,,,EPA - Various layers,https://map24.epa.gov/ArcGIS/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
101,1,,,,,NASA - SERVIR,https://gis1.servirglobal.net/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
102,1,,,,,NASA - MODIS and VIIRS imagery as ImageServer data:,https://modis.arcgis.com/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
103,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags01/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
104,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags02/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
105,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags03/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
106,1,,,,,NASA - Disaster related,https://maps.disasters.nasa.gov/ags04/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
107,1,,,,,NASA - Langley Research Center,https://arcgis.asdc.larc.nasa.gov/server/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
108,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/server/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
109,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/mapping/rest/services,Y,Y,OK,Y, Countries. Includes layer for country boundaries with dynamic layer support 
110,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/image01/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
111,1,,,,,NASA - Center for Climate Simulation,https://maps.nccs.nasa.gov/image02/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
112,1,,,,,NASA various layers,https://landsat2.arcgis.com/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
113,1,,,,,NASA various layers,https://landsat3.arcgis.com/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
114,1,,,,,Social Security Administration,https://services6.arcgis.com/zFiipv75rloRP5N4/ArcGIS/rest/services,Y,Y,OK,Y,
115,1,,,,,U.S. Post Office,https://gis.usps.com/arcgis/rest/services/EDDM/EDDM_ZIP5/MapServer,Y,Y,OK,Y, The following layers display at different zoom levels 
116,1,,,,,Federal Geographic Data Committee (FGDC),https://inlandwaters.geoplatform.gov/arcgis/rest/services,Y,Y,OK,Y, 8-14-2023 No tiled data 
117,2,Alabama,,,01,Alabama Department of Conservation and Natural Resources,https://conservationgis.alabama.gov/adcnrweb/rest/services,Y,Y,OK,Y, 7-30-2023 No tiled data 
118,2,Alabama,,,01,Alabama Department of Environmental Management,https://gis.adem.alabama.gov/arcgis/rest/services,Y,Y,OK,Y, 7-30-2023 No tiled data 
119,2,Alabama,,,01,Alabama Department of Transportation,https://aldotgis.dot.state.al.us/pubgis1/rest/services,Y,Y,OK,Y, 7-30-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
120,2,Alabama,,,01,Alabama Department of Transportation,https://aldotgis.dot.state.al.us/pubgis2/rest/services,Y,Y,OK,Y, 7-30-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
121,2,Alabama,,,01,Alabama Forestry Commission,https://gis.forestry.alabama.gov/arcgis/rest/services,Y,Y,OK,Y, 7-30-2023 No tiled data 
122,2,Alabama,,,01,Alabama Geological Survey and Oil & Gas Board,https://map.gsa.state.al.us/arcgis/rest/services,Y,Y,OK,Y, 7-30-2023 No tiled data 
123,2,Alabama,,,01,Alabama various layers,https://maps.alabama.gov/algogis/rest/services,Y,Y,OK,Y, 7-30-2023 No tiled data 
124,2,Alabama,,,01,Alabama various layers,https://alabamaflood.com/arcgis/rest/services,Y,Y,OK,Y, 7-30-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
125,2,Alabama,,,01,Alabama various layers,https://services7.arcgis.com/jF2q3LPxL7PETdYk/arcgis/rest/services,Y,Y,OK,Y, Parcel layers for (all?) counties 
126,2,Alabama,Autauga,,01001,,https://maps.capturecama.com/arcgis/rest/services/Autauga,Y,Y,OK,Y,
127,2,Alabama,Baldwin,,01003,,https://web5.kcsgis.com/kcsgis/rest/services/Baldwin,Y,Y,OK,Y,
128,2,Alabama,Barbour,,01005,,https://maps.capturecama.com/arcgis/rest/services/Barbour,Y,Y,OK,Y,
129,2,Alabama,Blount,,01009,,https://web5.kcsgis.com/kcsgis/rest/services/Blount_Imagery,Y,Y,OK,Y,
130,2,Alabama,Bullock,,01011,,https://web5.kcsgis.com/kcsgis/rest/services/Bullock/Public/MapServer,Y,Y,OK,Y, 
131,2,Alabama,Bullock,,01011,,https://maps.capturecama.com/arcgis/rest/services/Bullock,Y,Y,OK,Y,
132,2,Alabama,Calhoun,,01015,,https://gis.calhouncounty.org/arcgis5/rest/services,Y,Y,OK,Y, Server might be slow 
133,2,Alabama,Cherokee,,01019,,https://web2.kcsgis.com/kcsgis/rest/services/Cherokee,Y,Y,OK,Y, 
134,2,Alabama,Cherokee,,01019,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Cherokee_Imagery_2021/MapServer,Y,Y,OK,Y,
135,2,Alabama,Cleburne,,01029,,https://maps.capturecama.com/arcgis/rest/services/Cleburne,Y,Y,OK,Y,
136,2,Alabama,Colbert,,01033,,https://web2.kcsgis.com/kcsgis/rest/services/Colbert,Y,Y,OK,Y,
137,2,Alabama,Coosa,,01037,,https://maps.capturecama.com/arcgis/rest/services/Coosa,Y,Y,OK,Y,
138,2,Alabama,Cullman,,01043,,https://web2.kcsgis.com/kcsgis/rest/services/Cullman,Y,Y,OK,Y, 
139,2,Alabama,Cullman,,01043,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Cullman_Imagery_2017/MapServer,Y,Y,OK,Y, 
140,2,Alabama,Cullman,,01043,,https://services6.arcgis.com/j94FvPaik4etwHFk/ArcGIS/rest/services/CullmanCountyALWebService/FeatureServer,Y,Y,OK,Y,
141,2,Alabama,Dallas,,01047,,https://maps.capturecama.com/arcgis/rest/services/Dallas,Y,Y,OK,Y, Dallas They also have another GIS but it is not ArcGIS 
142,2,Alabama,Elmore,,01051,,https://maps.capturecama.com/arcgis/rest/services/Elmore,Y,Y,OK,Y,
143,2,Alabama,Etowah,,01055,,https://web2.kcsgis.com/kcsgis/rest/services/Etowah,Y,Y,OK,Y,
144,2,Alabama,Franklin,,01059,,https://web2.kcsgis.com/kcsgis/rest/services/Franklin,Y,Y,OK,Y, 
145,2,Alabama,Franklin,,01059,,https://web5.kcsgis.com/kcsgis/rest/services/Franklin,Y,Y,OK,Y,
146,2,Alabama,Greene,,01063,,https://services7.arcgis.com/deoj2Y8l1tBr7P5X/ArcGIS/rest/services/GreeneAL/FeatureServer,Y,Y,OK,Y,
147,2,Alabama,Hale,,01065,,https://maps.capturecama.com/arcgis/rest/services/Hale,Y,Y,OK,Y,
148,2,Alabama,Henry,,01067,,https://maps.capturecama.com/arcgis/rest/services/Henry,Y,Y,OK,Y,
149,2,Alabama,Jackson,,01071,,https://web2.kcsgis.com/kcsgis/rest/services/Jackson,Y,Y,OK,Y,
150,2,Alabama,Jefferson,,01073,,https://gis.jccal.org/arcgis/rest/services,Y,Y,OK,Y,
151,2,Alabama,Lauderdale,,01077,,https://web5.kcsgis.com/kcsgis/rest/services/Lauderdale,Y,Y,OK,Y,
152,2,Alabama,Lawrence,,01079,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Lawrence_Imagery_2016/MapServer,Y,Y,OK,Y, 
153,2,Alabama,Lawrence,,01079,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_Lawrence_Imagery/MapServer,Y,Y,OK,Y,
154,2,Alabama,Limestone,,01083,,https://web2.kcsgis.com/kcsgis/rest/services/Limestone,Y,Y,OK,Y,
155,2,Alabama,Macon,,01087,,https://maps.capturecama.com/arcgis/rest/services/Macon,Y,Y,OK,Y,
156,2,Alabama,Madison,,01089,,https://maps.madisonal.gov/server/rest/services,Y,Y,OK,Y,
157,2,Alabama,Madison,,01089,,https://web2.kcsgis.com/kcsgis/rest/services/Madison,Y,Y,OK,Y,
158,2,Alabama,Marshall,,01095,,https://web2.kcsgis.com/kcsgis/rest/services/Marshall,Y,Y,OK,Y,
159,2,Alabama,Mobile,,01097,,https://services2.arcgis.com/dJHAcAx6kccDBtM6/arcgis/rest/services,Y,Y,OK,Y, 
160,2,Alabama,Mobile,,01097,,https://maps.capturecama.com/arcgis/rest/services/Mobile,Y,Y,OK,Y,
161,2,Alabama,Monroe,,01099,,https://maps.capturecama.com/arcgis/rest/services/Monroe,Y,Y,OK,Y,
162,2,Alabama,Montgomery,,01101,,https://gis.montgomeryal.gov/server/rest/services,Y,Y,OK,Y,
163,2,Alabama,Morgan,,01103,,https://web2.kcsgis.com/kcsgis/rest/services/Morgan,Y,Y,OK,Y, 
164,2,Alabama,Morgan,,01103,,https://web5.kcsgis.com/kcsgis/rest/services/Morgan/Public/MapServer,Y,Y,OK,Y,
165,2,Alabama,Russell,,01113,,https://maps.capturecama.com/arcgis/rest/services/Russell,Y,Y,OK,Y,
166,2,Alabama,St. Clair,,01115,,https://map.stclairco.com/arcgis/rest/services,Y,Y,OK,Y,
167,2,Alabama,Shelby,,01117,,https://maps.shelbyal.com/gisserver/rest/services,Y,Y,OK,Y,
168,2,Alabama,Sumter,,01119,,https://maps.capturecama.com/arcgis/rest/services/Sumter,Y,Y,OK,Y,
169,2,Alabama,Talladega,,01121,,https://web5.kcsgis.com/kcsgis/rest/services/Talladega,Y,Y,OK,Y, 
170,2,Alabama,Talladega,,01121,,https://web5.kcsgis.com/kcsgis/rest/services/Talladega911,Y,Y,OK,Y,
171,2,Alabama,Tuscaloosa,,01125,,https://arcgis.tuscco.com/arcgis5/rest/services,Y,Y,OK,Y,
172,2,Alabama,Wilcox,,01131,,https://maps.capturecama.com/arcgis/rest/services/Wilcox,Y,Y,OK,Y,
173,2,Alabama,,Auburn,,,https://gis.auburnalabama.org/public/rest/services,Y,Y,OK,Y,
174,2,Alabama,,Boaz,,,https://web2.kcsgis.com/kcsgis/rest/services/Imagery/AL_BoazCity_Imagery/MapServer,Y,Y,OK,Y,
175,2,Alabama,,Escambia,,,https://arcgis4.roktech.net/arcgis/rest/services/escambia,Y,Y,OK,Y,
176,2,Alabama,,Foley,,,https://arcgis.cityoffoley.org/server/rest/services,Y,Y,OK,Y,
177,2,Alabama,,Gadsden,,,https://coggis.cityofgadsden.com/arcgis/rest/services,Y,Y,OK,Y,
178,2,Alabama,,Gardendale,,,https://arcgis4.roktech.net/arcgis/rest/services/GardendaleAL,Y,Y,OK,Y,
179,2,Alabama,,Huntsville,,,https://maps.huntsvilleal.gov/server/rest/services,Y,Y,OK,Y,
180,2,Alabama,,Madison,,,https://madmaps1.madisonal.gov/server/rest/services,Y,Y,OK,Y,
181,2,Alabama,,Mobile,,,https://maps.cityofmobile.org/arcgis/rest/services,Y,N,OK,Y,
182,2,Alabama,,Montgomery,,,https://gis.montgomeryal.gov/server/rest/services,Y,Y,OK,Y,
